Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
2634	طُّوفَان	ط و ف	فُعْلَان	N03.2	fu'laan	T~uwfaAn	2	Noun			ف	و	ط	
2635	طَآئِف	ط و ف	فَاعِل	vb.I.ap	faa'il	TaA^}if	4	Noun			ف	و	ط	
2636	طَآئِفَة	ط و ف	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	TaA^}ifap	24	Noun (23), Adjective (1)			ف	و	ط	
2637	طَافَ	ط و ف		I		to circulate, to go around	8				ف	و	ط	
2638	يَطَّوَّفَ	ط و ف		V		to walk, to circumambulate	2				ف	و	ط	
2639	طَاقَة	ط و ق	فَالَة	N21.3t	faal at	TaAqap	2	Noun			ق	و	ط	
2640	يُطَوَّقُ	ط و ق		II		to encircle the neck	1				ق	و	ط	
2641	يُطِيقُ	ط و ق		IV		to afford	1				ق	و	ط	
2642	طَالُوت	ط و ل	فَالُوت	N08.4 proper name	faaloot	TaAluwt	2	Proper noun			ل	و	ط	
2643	طَوِيل	ط و ل	فَعِيل	N13.1	fa'eel	Tawiyl	2	Adjective			ل	و	ط	
2644	طَوْل	ط و ل	فَعْل	N21.1	fa'l	Tawol	3	Noun			ل	و	ط	
2645	طُول	ط و ل	فُول	N22.3	fuul	Tuwl	1	Noun			ل	و	ط	
2646	طَالَ	ط و ل		I		to prolong, to grow long	3				ل	و	ط	
2647	تَطَاوَلَ	ط و ل		VI		to prolong	1				ل	و	ط	
2648	طَىّ	ط و ي	فَعْل	N21.1	fa'l	TaY~	1	Noun			ي	و	ط	
2649	طُوًى	ط و ي	فُعَل	N22.5 proper name	fu'al	TuwFY	2	Noun			ي	و	ط	
2650	مَطْوِيَّٰت	ط و ي	(مَفْعِيلَة) مَفْعِيلَات	vb.I.pp t	maf'eel aat.pl	maTowiy~a`t	1	Noun			ي	و	ط	
2651	نَطْوِى	ط و ي		I		to fold	1				ي	و	ط	
2652	طُوبَىٰ	ط ي ب	فُعْلَىٰ	N05.2	fu'laa	TuwbaY`	1	Noun			ب	ي	ط	
2653	طَيِّب	ط ي ب	فَعِيل	N13.1	fa'eel	Tay~ib	16	Adjective (8), Noun (8)			ب	ي	ط	
2654	طَيِّبَٰت	ط ي ب	 (فَعِيلَة)  فَعِيلَات	N13.1t	fa'eel aat.pl	Tay~iba`t	21	Noun			ب	ي	ط	
2655	طَيِّبَة	ط ي ب	فَعِيلَة	N13.1t	fa'eel at	Tay~ibap	9	Adjective			ب	ي	ط	
2656	طَابَ	ط ي ب		I		to seem suitable, to remit, to do well	3				ب	ي	ط	
2657	طَيْر	ط ي ر	فَعْل	N21.1z.gn	fa'l	Tayor	19	Noun			ر	ي	ط	
2658	طَٰٓئِر	ط ي ر	فَاعِل	vb.I.ptrn.ap.N	faa'il	Ta`^}ir	5	Noun			ر	ي	ط	
2659	مُسْتَطِير	ط ي ر	مُسْتَفْعِل	vb.X.ap	mustaf'il	musotaTiyr	1	Noun			ر	ي	ط	
2660	يَطِيرُ	ط ي ر		I		to fly	1				ر	ي	ط	
2661	ٱطَّيَّرْ	ط ي ر		V		to ascribe an evil omen	3				ر	ي	ط	
2662	طِين	ط ي ن	فِيل	N23.3	feel	Tiyn	12	Noun			ن	ي	ط	
2663	ظَعْن	ظ ع ن	فَعْل	N21.1	fa'l	ZaEon	1	Noun			ن	ع	ظ	
2664	ظُفُر	ظ ف ر	فُعُل	N22.4	fu'ul	Zufur	1	Noun			ر	ف	ظ	
2665	أَظْفَرَ	ظ ف ر		IV		to give victory	1				ر	ف	ظ	
2666	ظَلِيل	ظ ل ل	فَعِيل	N13.1	fa'eel	Zaliyl	2	Adjective			ل	ل	ظ	
2667	ظُلَّة	ظ ل ل	فُلَّة	N22.2t	full at	Zul~ap	6	Noun			ل	ل	ظ	
2668	ظِلّ	ظ ل ل	فِلّ	N23.2	fill	Zil~	14	Noun			ل	ل	ظ	
2669	ظَلَّ	ظ ل ل		I		to continue, to remain	9				ل	ل	ظ	
2670	ظَلَّلْ	ظ ل ل		II		to shade	2				ل	ل	ظ	
2671	ظَلَّٰم	ظ ل م	فَعَّال	N01.1	fa''aal	Zal~a`m	5	Noun			م	ل	ظ	
2672	أَظْلَم	ظ ل م	أَفْعَل	N06.1 comp/supr	af'al	>aZolam	16	Noun			م	ل	ظ	
2673	ظَلُوم	ظ ل م	فَعُول	N12.1	fa'ool	Zaluwm	2	Noun			م	ل	ظ	
2674	ظُلْم	ظ ل م	فُعْل	N22.1	fu'l	Zulom	20	Noun			م	ل	ظ	
2675	ظُلُمَٰت	ظ ل م	(فُعْلَة) فُعُلَات	N22.1z.pl t	fu'ul aat pl of fu'l at	Zuluma`t	23	Noun (22), Adjective (1)			م	ل	ظ	
2676	ظَالِم	ظ ل م	فَاعِل	vb.I.ap	faa'il	ZaAlim	129	Noun (105), Adjective (24)			م	ل	ظ	
2677	ظَالِمِىٓ	ظ ل م	(فَاعِل) فَاعِلِي	vb.I.ap	faa'il ee.pl	ZaAlimiY^	2	Noun			م	ل	ظ	
2678	ظَالِمَة	ظ ل م	فَاعِلَة	vb.I.ap t	faa'il at	ZaAlimap	4	Noun			م	ل	ظ	
2679	مَظْلُوم	ظ ل م	مَفْعُول	vb.I.pp	maf'ool	maZoluwm	1	Noun			م	ل	ظ	
2680	مُظْلِم	ظ ل م	مُفْعِل	vb.IV.ptrn.ap.N	muf'il	muZolim	2	Noun			م	ل	ظ	
2681	ظَلَمَ	ظ ل م		I		to oppress, to wrong	110				م	ل	ظ	
2682	أَظْلَمَ	ظ ل م		IV		to darken	1				م	ل	ظ	
2683	ظَّمْـَٔان	ظ م ا	فَعْلَان	N03.1	fa'laan	Z~amo_#aAn	1	Noun			ا	م	ظ	
2684	ظَمَأ	ظ م ا	فَعَل	N21.4	fa'al	Zama>	1	Noun			ا	م	ظ	
2685	تَظْمَؤُا۟	ظ م ا		I		to suffer from thirst	1				ا	م	ظ	
2686	ظَنّ	ظ ن ن	فَلّ	N21.2	fall	Zan~	21	Noun			ن	ن	ظ	
2687	ظَّآنِّين	ظ ن ن	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	Z~aA^n~iyn	1	Adjective			ن	ن	ظ	
2688	ظَنَّ	ظ ن ن		I		to think, to assume, to guess	47				ن	ن	ظ	
2689	ظَهِير	ظ ه ر	فَعِيل	N13.1	fa'eel (same pattern can also be used for plu)	Zahiyr	6	Noun (4), Adjective (2)			ر	ه	ظ	
2690	ظَّهِيرَة	ظ ه ر	فَعِيلَة	N13.1t	fa'eel at	Z~ahiyrap	1	Noun			ر	ه	ظ	
2691	ظَهْر	ظ ه ر	فَعْل	N21.1	fa'l	Zahor	15	Noun			ر	ه	ظ	
2692	ظِهْرِيّ	ظ ه ر	فِعْلِيّ	N23.1y	fi'l iyy	Zihoriy~	1	Noun			ر	ه	ظ	
2693	ظَٰهِر	ظ ه ر	فَاعِل	vb.I.ptrn.ap.N	faa'il	Za`hir	8	Noun			ر	ه	ظ	
2694	ظَٰهِرَة	ظ ه ر	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	Za`hirap	2	Noun			ر	ه	ظ	
2695	ظَهَرَ	ظ ه ر		I		to appear, to become manifest	10				ر	ه	ظ	
2696	ظَٰهَرُ	ظ ه ر		III		to support, to back	6				ر	ه	ظ	
2697	أَظْهَرَ	ظ ه ر		IV & VI	It is VI in 28:48, while IV in remaining 7	to make apparent, to reveal	8				ر	ه	ظ	
2698	تَظَٰهَرُ	ظ ه ر		VI		to support	2				ر	ه	ظ	
2699	عَلَىٰ	عَلَىٰ	عَلَىٰ	Miscellaneous	.'alaa	EalaY`	1445	Preposition						
2700	عَن	عَن	عَن	Miscellaneous	.'an	Ean	465	Preposition						
2701	عِند	عِند	عِند	Miscellaneous	.'inda	Eind	197	Location adverb (160), Noun (37)						
2702	عِيسَى	عِيسَى	عِيسَى	proper name	Eesaa	EiysaY	25	Proper noun						
2703	يَعْبَؤُا۟	ع ب ا		I		to care	1				ا	ب	ع	
2704	عَبَث	ع ب ث	فَعَل	N21.4	fa'al	Eabav	1	Noun			ث	ب	ع	
2705	تَعْبَثُ	ع ب ث		I		to be amused	1				ث	ب	ع	
2706	عِبَادَت	ع ب د	فِعَالَة	N11.3t	fi'aal at	EibaAdat	9	Noun			د	ب	ع	
2707	عَبْد	ع ب د	فَعْل	N21.1	fa'l	Eabod	131	Noun			د	ب	ع	
2708	عَابِد	ع ب د	فَاعِل	vb.I.ap	faa'il	EaAbid	11	Noun (10), Adjective (1)			د	ب	ع	
2709	عَٰبِدَٰت	ع ب د	(فَاعِلَة) فَاعِلَات	vb.I.ap t.f	faa'il aat.pl	Ea`bida`t	1	Adjective			د	ب	ع	
2710	عَبَدَ	ع ب د		I		to worship	122				د	ب	ع	
2711	عَبَّد	ع ب د		II		to enslave	1				د	ب	ع	
2712	عِبْرَة	ع ب ر	فِعْلَة	N23.1t	fi'l at	Eiborap	6	Noun			ر	ب	ع	
2713	عَابِرِى	ع ب ر	(فَاعِل) فَاعِلِي	vb.I.ap	faa'il ee.pl	EaAbiriY	1	Noun			ر	ب	ع	
2714	تَعْبُرُ	ع ب ر		I		to interpret	1				ر	ب	ع	
2715	ٱعْتَبِرُ	ع ب ر		VIII		to learn a lesson	1				ر	ب	ع	
2716	عَبُوس	ع ب س	فَعُول	N12.1	fa'ool	Eabuws	1	Adjective			س	ب	ع	
2717	عَبَسَ	ع ب س		I		to frown	2				س	ب	ع	
2718	عَبْقَرِىّ	ع ب ق ر	فَرْعَلِىّ	N28.1y	far'al iyy	EaboqariY~	1	Noun		ر	ق	ب	ع	
2719	مُعْتَبِين	ع ت ب	(مُفْعَل) مُفْعَلِين	vb.IV.pp	muf'al een.pl	muEotabiyn	1	Noun			ب	ت	ع	
2720	يَسْتَعْتِبُ	ع ت ب		X		to ask for favor	4				ب	ت	ع	
2721	عَتِيد	ع ت د	فَعِيل	N13.1	fa'eel	Eatiyd	2	Adjective (1), Noun (1)			د	ت	ع	
2722	أَعْتَدَتْ	ع ت د		IV		to prepare	14				د	ت	ع	
2723	عَتِيق	ع ت ق	فَعِيل	N13.1	fa'eel	Eatiyq	2	Adjective			ق	ت	ع	
2724	عُتُلّ	ع ت ل	فُعُلّ	N02.1	fu'ull	Eutul~	1	Adjective			ل	ت	ع	
2725	ٱعْتِلُ	ع ت ل		I		to drag	1				ل	ت	ع	
2726	عُتُوّ	ع ت و	فُعُول	N12.2	fu'ool	Eutuw~	2	Noun			و	ت	ع	
2727	عِتِيّ	ع ت و	فِعِيل	N13.2	fi'eel	Eitiy~	2	Noun			و	ت	ع	
2728	عَاتِيَة	ع ت و	فَاعِلَة	vb.I.ap t	faa'il at	EaAtiyap	1	Adjective			و	ت	ع	
2729	عَتَ	ع ت و		I		to be insolent, to exceed, to rebell	5				و	ت	ع	
2730	عُثِرَ	ع ث ر		I		to discover	1				ر	ث	ع	
2731	أَعْثَرْ	ع ث ر		IV		to make known	1				ر	ث	ع	
2732	تَعْثَ	ع ث و		I		to act wickedly, to commit evil	5				و	ث	ع	
2733	عُجَاب	ع ج ب	فُعَال	N11.2	fu'aal	EujaAb	1	Adjective			ب	ج	ع	
2734	عَجِيب	ع ج ب	فَعِيل	N13.1	fa'eel	Eajiyb	2	Adjective			ب	ج	ع	
2735	عَجَب	ع ج ب	فَعَل	N21.4	fa'al	Eajab	5	Adjective (3), Noun (2)			ب	ج	ع	
2736	عَجِبُ	ع ج ب		I		to wonder, to be amazed, to be astonished	8				ب	ج	ع	
2737	أَعْجَبَ	ع ج ب		IV		to please, to impress	11				ب	ج	ع	
2738	عَجُوز	ع ج ز	فَعُول	N12.1	fa'ool	Eajuwz	4	Noun			ز	ج	ع	
2739	أَعْجَاز	ع ج ز	(فَعُل)أَفْعَال	N21.5z.pl	af'aal pl of fa'ul	>aEojaAz	2	Noun			ز	ج	ع	
2740	مُعَٰجِزِين	ع ج ز	(مُفَاعِل) مُفَاعِلِين 	vb.III.ap	mufaa'il een.pl	muEa`jiziyn	3	Noun			ز	ج	ع	
2741	مُعْجِز	ع ج ز	مُفْعِل	vb.IV.ap	muf'il	muEojiz	12	Noun			ز	ج	ع	
2742	عَجَزْ	ع ج ز		I		to be unable	1				ز	ج	ع	
2743	يُعْجِزَ	ع ج ز		IV		to escape	4				ز	ج	ع	
2744	عِجَاف	ع ج ف	 (أَفْعَل) فِعَال	N06.1z.pl	fi'aal pl of af'al	EijaAf	2	Adjective			ف	ج	ع	
2745	عَجُول	ع ج ل	فَعُول	N12.1	fa'ool	Eajuwl	1	Adjective			ل	ج	ع	
2746	عَجَل	ع ج ل	فَعَل	N21.4	fa'al	Eajal	1	Noun			ل	ج	ع	
2747	عِجْل	ع ج ل	فِعْل	N23.1	fi'l	Eijol	10	Noun			ل	ج	ع	
2748	عَاجِلَةٌ	ع ج ل	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	EaAjilapN	3	Noun			ل	ج	ع	
2749	ٱسْتِعْجَال	ع ج ل	إِسْتِفْعَال	vb.X.vn	istif'aal	{sotiEojaAl	1	Noun			ل	ج	ع	
2750	عَجِلَ	ع ج ل		I		to hasten	5				ل	ج	ع	
2751	عَجَّلَ	ع ج ل		II		to hasten	5				ل	ج	ع	
2752	أَعْجَلَ	ع ج ل		IV		to make hasten	1				ل	ج	ع	
2753	تَعَجَّلَ	ع ج ل		V		to hurry	1				ل	ج	ع	
2754	ٱسْتَعْجَلَ	ع ج ل		X		to seek to hasten	19				ل	ج	ع	
2755	أَعْجَمِين	ع ج م	 (أَفْعَل) أَفْعَلِين	N06.1	af'al een.pl	>aEojamiyn	1	Noun			م	ج	ع	
2756	أَعْجَمِىّ	ع ج م	أَفْعَلِىّ	N06.1y	af'al iyy	>aEojamiY~	3	Noun (2), Adjective (1)			م	ج	ع	
2757	عَدّ	ع د د	فَلّ	N21.2	fall	Ead~	2	Noun			د	د	ع	
2758	عَدَد	ع د د	فَعَل	N21.4	fa'al	Eadad	6	Noun (5), Adjective (1)			د	د	ع	
2759	عُدَّة	ع د د	فُلَّة	N22.2t	full at	Eud~ap	1	Noun			د	د	ع	
2760	عِدَّة	ع د د	فِلَّة	N23.2t	fill at	Eid~ap	11	Noun			د	د	ع	
2761	عَآدِّين	ع د د	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	EaA^d~iyn	1	Noun			د	د	ع	
2762	مَّعْدُود	ع د د	مَفْعُول	vb.I.pp	maf'ool	m~aEoduwd	1	Noun			د	د	ع	
2763	مَّعْدُودَة	ع د د	مَفْعُولَة	vb.I.pp t	maf'ool at	m~aEoduwdap	6	Adjective (5), Noun (1)			د	د	ع	
2764	عَدَّ	ع د د		I		to count	7				د	د	ع	
2765	عَدَّدَ	ع د د		II		to count	1				د	د	ع	
2766	أَعَدَّ	ع د د		IV		to prepare	20				د	د	ع	
2767	تَعْتَدُّ	ع د د		VIII		to count	1				د	د	ع	
2768	عَدَس	ع د س	فَعَل	N21.4z.cl	fa'al	Eadas	1	Noun			س	د	ع	
2769	عَدْل	ع د ل	فَعْل	N21.1	fa'l	Eadol	14	Noun			ل	د	ع	
2770	عَدَلَ	ع د ل		I		to be just	14				ل	د	ع	
2771	عَدْن	ع د ن	فَعْل	N21.1	fa'l	Eadon	11	Proper noun			ن	د	ع	
2772	عُدْوَٰن	ع د و	فُعْلَان	N03.2	fu'laan	Eudowa`n	8	Noun			و	د	ع	
2773	عَدَٰوَة	ع د و	فَعَالَة	N11.1t	fa'aal at	Eada`wap	6	Noun			و	د	ع	
2774	عَدُوّ	ع د و	فَعُول	N12.1	fa'ool	Eaduw~	50	Noun (49), Adjective (1)			و	د	ع	
2775	عَدْو	ع د و	فَعْل	N21.1	fa'l	Eadow	2	Noun			و	د	ع	
2776	عُدْوَة	ع د و	فُعْلَة	N22.1t	fu'l at	Eudowap	2	Noun			و	د	ع	
2777	عَاد	ع د و	فَاعِل	vb.I.ap	faa'il	EaAd	6	Noun			و	د	ع	
2778	عَٰدِيَٰت	ع د و	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	Ea`diya`t	1	Noun			و	د	ع	
2779	مُعْتَدِين	ع د و	(مُفْتَعِل) مُفْتَعِلِين	vb.VIII.ap	mufta'il een.pl	muEotadiyn	6	Noun			و	د	ع	
2780	مُعْتَد	ع د و	مُفْتَعِل	vb.VIII.ap	mufta'il	muEotad	3	Noun (2), Adjective (1)			و	د	ع	
2781	يَعْدُ	ع د و		I		to transgress, to pass beyond	3				و	د	ع	
2782	عَادَيْ	ع د و		III		to be enemies	1				و	د	ع	
2783	يَتَعَدَّ	ع د و		V		to transgress	3				و	د	ع	
2784	ٱعْتَدَىٰ	ع د و		VIII		to transgress	15				و	د	ع	
2785	عَذَاب	ع ذ ب	فَعَال	N11.1	fa'aal	Ea*aAb	322	Noun			ب	ذ	ع	
2786	عَذْب	ع ذ ب	فَعْل	N21.1	fa'l	Ea*ob	2	Noun			ب	ذ	ع	
2787	مُعَذِّب	ع ذ ب	مُفَعِّل	vb.II.ap	mufa''il	muEa*~ib	4	Noun			ب	ذ	ع	
2788	مُعَذَّبِين	ع ذ ب	(مُفَعَّل) مُفَعَّلِين	vb.II.pp	mufa''al een.pl	muEa*~abiyn	4	Noun			ب	ذ	ع	
2789	عَذَّبَ	ع ذ ب		II		to punish	41				ب	ذ	ع	
2790	مَعَاذِير	ع ذ ر	(مِفْعَال) مَفَاعِيل	N18.2z.pl	mafaa'eel pl of mif'aal	maEaA*iyr	1	Noun			ر	ذ	ع	
2791	مَعْذِرَة	ع ذ ر	مَفْعِلَة	N19.2t	maf'il at	maEo*irap	3	Noun			ر	ذ	ع	
2792	عُذْر	ع ذ ر	فُعْل	N22.1	fu'l	Eu*or	2	Noun			ر	ذ	ع	
2793	مُعَذِّرُون	ع ذ ر	(مُفَعِّل) مُفَعِّلُون	vb.II.ap	mufa''il oon.pl	muEa*~iruwn	1	Noun			ر	ذ	ع	
2794	يَعْتَذِرُ	ع ذ ر		VIII		to make excuse	5				ر	ذ	ع	
2795	عُرُب	ع ر ب	(فَعُول) فُعُل	N12.1z.pl	fu'ul pl of fa'ool & fa'ool at	Eurub	1	Adjective			ب	ر	ع	
2796	عَرَبِيّ	ع ر ب	فَعَلِيّ	N21.4y	fa'al iyy	Earabiy~	11	Adjective (10), Noun (1)			ب	ر	ع	
2797	أَعْرَاب	ع ر ب	أَفْعَال	N25.1z.cl	af'aal	>aEoraAb	10	Noun			ب	ر	ع	
2798	أَعْرَج	ع ر ج	أَفْعَل	N06.1 col/frm.qlt	af'al	>aEoraj	2	Noun			ج	ر	ع	
2799	مَعَارِج	ع ر ج	(مَفْعَل) مَفَاعِل	N19.1z.pl	mafaa'il pl of maf'al	maEaArij	2	Noun			ج	ر	ع	
2800	يَعْرُجُ	ع ر ج		I		to ascend	5				ج	ر	ع	
2801	عُرْجُون	ع ر ج ن	فُرْعُول	N12.Q1	fur'ool	Eurojuwn	1	Noun		ن	ج	ر	ع	
2802	مَّعَرَّة	ع ر ر	مَفْعَلَة	N19.1t	maf'al at	m~aEar~ap	1	Noun			ر	ر	ع	
2803	مُعْتَرّ	ع ر ر	مُفْتَعِل	vb.VIII.ap	mufta'il	muEotar~	1	Noun			ر	ر	ع	
2804	عَرْش	ع ر ش	فَعْل	N21.1	fa'l	Earo$	29	Noun			ش	ر	ع	
2805	مَّعْرُوشَٰت	ع ر ش	(مَفْعُولَة) مَفْعُولَات	vb.I.pp t	maf'ool aat.pl	m~aEoruw$a`t	2	Adjective (1), Noun (1)			ش	ر	ع	
2806	يَعْرِشُ	ع ر ش		I		to erect, to construct	2				ش	ر	ع	
2807	عَرِيض	ع ر ض	فَعِيل	N13.1	fa'eel	EariyD	1	Adjective			ض	ر	ع	
2808	عَرْض	ع ر ض	فَعْل	N21.1	fa'l	EaroD	4	Noun			ض	ر	ع	
2809	عَرَض	ع ر ض	فَعَل	N21.4	fa'al	EaraD	6	Noun			ض	ر	ع	
2810	عُرْضَة	ع ر ض	فُعْلَة	N22.1t	fu'l at	EuroDap	1	Noun			ض	ر	ع	
2811	عَارِض	ع ر ض	فَاعِل	vb.I.ap	faa'il	EaAriD	2	Noun			ض	ر	ع	
2812	مُّعْرِضُون	ع ر ض	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	m~uEoriDuwn	19	Noun			ض	ر	ع	
2813	إِعْرَاض	ع ر ض	إِفْعَال	vb.IV.vn	if'aal	<iEoraAD	2	Noun			ض	ر	ع	
2814	عَرَضَ	ع ر ض		I		to display, to present, to expose, to turn away	11				ض	ر	ع	
2815	عَرَّضْ	ع ر ض		II		to hint	1				ض	ر	ع	
2816	أَعْرَضَ	ع ر ض		IV		to turn away	32				ض	ر	ع	
2817	عَرَفَٰت	ع ر ف	فَعَلَات	N08.2 proper name	fa'alaat	Earafa`t	1	Proper noun			ف	ر	ع	
2818	عُرْف	ع ر ف	فُعْل	N22.1	fu'l	Eurof	2	Noun			ف	ر	ع	
2819	أَعْرَاف	ع ر ف	(فُعْل) أَفْعَال	N22.1z.pl	af'aal pl of fu'l	>aEoraAf	2	Noun			ف	ر	ع	
2820	مَّعْرُوف	ع ر ف	مَفْعُول	vb.I.pp	maf'ool	m~aEoruwf	38	Noun (34), Adjective (4)			ف	ر	ع	
2821	مَّعْرُوفَة	ع ر ف	مَفْعُولَة	vb.I.pp t	maf'ool at	m~aEoruwfap	1	Noun			ف	ر	ع	
2822	عَرَفَ	ع ر ف		I		to know, to recognize	20				ف	ر	ع	
2823	عَرَّفَ	ع ر ف		II		to make known	2				ف	ر	ع	
2824	يَتَعَارَفُ	ع ر ف		VI		to know, to recognize	2				ف	ر	ع	
2825	ٱعْتَرَفُ	ع ر ف		VIII		to acknowledge, to confess	3				ف	ر	ع	
2826	عَرِم	ع ر م	فَعِل	N21.6	fa'il	Earim	1	Noun			م	ر	ع	
2827	عُرْوَة	ع ر و	فُعْلَة	N22.1t	fu'l at	Eurowap	2	Noun			و	ر	ع	
2828	ٱعْتَرَىٰ	ع ر و		VIII		to seize	1				و	ر	ع	
2829	عَرَآء	ع ر ي	فَعَال	N11.1	fa'aal	EaraA^'	2	Noun			ي	ر	ع	
2830	تَعْرَىٰ	ع ر ي		I		to unclothe	1				ي	ر	ع	
2831	يَعْزُبُ	ع ز ب		I		to escape	2				ب	ز	ع	
2832	عُزَيْر	ع ز ر	فُعَيْل	N13.3 proper name	fu'ael	Euzayor	1	Proper noun			ر	ز	ع	
2833	عَزَّرُ	ع ز ر		II		to honour, to assist	3				ر	ز	ع	
2834	أَعَزّ	ع ز ز	أَفْعَل	N06.1 comp/supr	af'al 	>aEaz~	3	Noun			ز	ز	ع	
2835	عَزِيز	ع ز ز	فَعِيل	N13.1	fa'eel (its plural is a'izzat)	Eaziyz	101	Noun (63), Adjective (38)			ز	ز	ع	
2836	عِزّ	ع ز ز	فِلّ	N23.2	fill	Eiz~	1	Noun			ز	ز	ع	
2837	عِزَّة	ع ز ز	فِلَّة	N23.2t	fill at	Eiz~ap	11	Noun			ز	ز	ع	
2838	عَزَّ	ع ز ز		I		to overpower	1				ز	ز	ع	
2839	عَزَّزْ	ع ز ز		II		to strengthen	1				ز	ز	ع	
2840	تُعِزُّ	ع ز ز		IV		to honor	1				ز	ز	ع	
2841	مَعْزِل	ع ز ل	مَفْعِل	N19.2	maf'il	maEozil	1	Noun			ل	ز	ع	
2842	مَعْزُولُون	ع ز ل	(مَفْعُول) مَفْعُولُون	vb.I.pp	maf'ool oon.pl	maEozuwluwn	1	Noun			ل	ز	ع	
2843	عَزَلْ	ع ز ل		I		to set aside	1				ل	ز	ع	
2844	ٱعْتَزَلَ	ع ز ل		VIII		to withdraw, to leave, to keep away	7				ل	ز	ع	
2845	عَزْم	ع ز م	فَعْل	N21.1	fa'l	Eazom	5	Noun			م	ز	ع	
2846	عَزَمَ	ع ز م		I		to resolve, to decide, to determine	4				م	ز	ع	
2847	عِزِين	ع ز و	(فِعْلَة) فِعِين	N23.1z.pl t.s	fi'een pl of fi'l at (waw of root dropped in plural)	Eiziyn	1	Noun			و	ز	ع	
2848	عُسْرَىٰ	ع س ر	فُعْلَىٰ	N05.2	fu'laa	EusoraY`	1	Noun			ر	س	ع	
2849	عَسِير	ع س ر	فَعِيل	N13.1	fa'eel	Easiyr	2	Adjective			ر	س	ع	
2850	عَسِر	ع س ر	فَعِل	N21.6	fa'il	Easir	1	Adjective			ر	س	ع	
2851	عُسْر	ع س ر	فُعْل	N22.1	fu'l	Eusor	5	Noun			ر	س	ع	
2852	عُسْرَة	ع س ر	فُعْلَة	N22.1t	fu'l at	Eusorap	2	Noun			ر	س	ع	
2853	تَعَاسَرْ	ع س ر		VI		to disagree	1				ر	س	ع	
2854	عَسْعَسَ	ع س ع س		Q.I		to depart	1			س	ع	س	ع	
2855	عَسَل	ع س ل	فَعَل	N21.4	fa'al	Easal	1	Noun			ل	س	ع	
2856	عَسَى	ع س ي		I		to perhaps	30				ي	س	ع	
2857	عِشْرُون	ع ش ر	فِعْلُون	N03.8 n.nmb	fi'loon (n.nmb for noun of number)	Ei$oruwn	1	Noun			ر	ش	ع	
2858	عِشَار	ع ش ر	 (فُعْلَآء) فِعَال	N04.2z.pl f	fi'aal pl of fu'laaa.	Ei$aAr	1	Noun			ر	ش	ع	
2859	عَشِير	ع ش ر	فَعِيل	N13.1	fa'eel	Ea$iyr	1	Noun			ر	ش	ع	
2860	عَشِيرَت	ع ش ر	فَعِيلَة	N13.1t	fa'eel at	Ea$iyrat	3	Noun			ر	ش	ع	
2861	مِعْشَار	ع ش ر	مِفْعَال	N18.2	mif'aal	miEo$aAr	1	Noun			ر	ش	ع	
2862	مَعْشَر	ع ش ر	مَفْعَل	N19.1	maf'al	maEo$ar	3	Noun			ر	ش	ع	
2863	عَشْر	ع ش ر	فَعْل	N21.1 n.nmb	fa'l	Ea$or	7	Noun (5), Time adverb (1), Adjective (1)			ر	ش	ع	
2864	عَشْرَة	ع ش ر	فَعْلَة	N21.1t	fa'l at	Ea$orap	3	Noun			ر	ش	ع	
2865	عَشَر	ع ش ر	فَعَل	N21.4	fa'al	Ea$ar	4	Noun			ر	ش	ع	
2866	عَشَرَة	ع ش ر	فَعَلَة	N21.4t n.nmb	fa'al at	Ea$arap	2	Noun			ر	ش	ع	
2867	عَاشِرُ	ع ش ر		III		to live	1				ر	ش	ع	
2868	عِشَآء	ع ش و	فِعَال	N11.3	fi'aal	Ei$aA^'	2	Noun			و	ش	ع	
2869	عَشِىّ	ع ش و	فَعِيل	N13.1	fa'eel	Ea$iY~	10	Noun (8), Time adverb (2)			و	ش	ع	
2870	عَشِيَّة	ع ش و	فَعِيلَة	N13.1t	fa'eel at	Ea$iy~ap	1	Noun			و	ش	ع	
2871	يَعْشُ	ع ش و		I		to turn away	1				و	ش	ع	
2872	عَصِيب	ع ص ب	فَعِيل	N13.1	fa'eel	EaSiyb	1	Adjective			ب	ص	ع	
2873	عُصْبَة	ع ص ب	فُعْلَة	N22.1t	fu'l at	EuSobap	4	Noun			ب	ص	ع	
2874	عَصْر	ع ص ر	فَعْل	N21.1	fa'l	EaSor	1	Noun			ر	ص	ع	
2875	مُعْصِرَٰت	ع ص ر	(مُفْعِلَة) مُفْعِلَات	vb.IV.ap t	muf'il aat.pl	muEoSira`t	1	Noun			ر	ص	ع	
