Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
123	تَأْسِرُ	ا س ر		I		to take captive	1				ر	س	ا	
124	أَسَّسَ	ا س س		II		to found	3				س	س	ا	
125	أَسَف	ا س ف	فَعَل	N21.4	fa'al	>asaf	2	Noun			ف	س	ا	
126	أَسِف	ا س ف	فَعِل	N21.6	fa'il	>asif	2	Noun			ف	س	ا	
127	ءَاسَفُ	ا س ف		IV		to anger	1				ف	س	ا	
128	ءَاسِن	ا س ن	فَاعِل	vb.I.ptrn.ap.N	faa'il	'aAsin	1	Noun			ن	س	ا	
129	أُسْوَة	ا س و	فُعْلَة	N22.1t	fu'l at	>usowap	3	Noun			و	س	ا	
130	تَأْسَ	ا س و		I		to grieve	4				و	س	ا	
131	أَشِر	ا ش ر	فَعِل	N21.6	fa'il	>a$ir	2	Adjective			ر	ش	ا	
132	إِصْر	ا ص ر	فِعْل	N23.1	fi'l	<iSor	3	Noun			ر	ص	ا	
133	أَصِيل	ا ص ل	فَعِيل	N13.1	fa'eel	>aSiyl	7	Time adverb (4), Noun (3)			ل	ص	ا	
134	أَصْل	ا ص ل	فَعْل	N21.1	fa'l	>aSol	3	Noun			ل	ص	ا	
135	أُفّ	ا ف ف	فُلّ	N22.2	full	>uf~	3	Noun			ف	ف	ا	
136	أُفُق	ا ف ق	فُعُل	N22.4	fu'ul	>ufuq	3	Noun			ق	ف	ا	
137	أَفَّاك	ا ف ك	فَعَّال	N01.1	fa''aal	>af~aAk	2	Noun			ك	ف	ا	
138	إِفْك	ا ف ك	فِعْل	N23.1	fi'l	<ifok	9	Noun			ك	ف	ا	
139	مُؤْتَفِكَة	ا ف ك	مُفْتَعِلَة	vb.VIII.ap t	mufta'il at	mu&otafikap	3	Noun			ك	ف	ا	
140	أُفِكَ	ا ف ك		I		to delude, to turn away	16				ك	ف	ا	
141	ءَافِلِين	ا ف ل	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	'aAfiliyn	1	Noun			ل	ف	ا	
142	أَفَلَ	ا ف ل		I		to set	3				ل	ف	ا	
143	أَكَّٰلُون	ا ك ل	 (فَعَّال) فَعَّالُون	N01.1	fa''aal oon.pl	>ak~a`luwn	1	Noun			ل	ك	ا	
144	أَكْل	ا ك ل	فَعْل	N21.1	fa'l	>akol	4	Noun			ل	ك	ا	
145	أُكُل	ا ك ل	فُعُل	N22.4	fu'ul	>ukul	7	Noun			ل	ك	ا	
146	ءَاكِلُون	ا ك ل	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	'aAkiluwn	3	Noun			ل	ك	ا	
147	مَّأْكُول	ا ك ل	مَفْعُول	vb.I.pp	maf'ool	m~a>okuwl	1	Adjective			ل	ك	ا	
148	أَكَلَ	ا ك ل		I		to eat, to consume	93				ل	ك	ا	
149	أَلَتْ	ا ل ت		I		to deprive	1				ت	ل	ا	
150	أَلْف	ا ل ف	فَعْل	N21.1 n.nmb	fa'l	>alof	14	Noun			ف	ل	ا	
151	مُؤَلَّفَة	ا ل ف	مُفَعَّلَة	vb.II.pp t	mufa''al at	mu&al~afap	1	Noun			ف	ل	ا	
152	إِيلَٰف	ا ل ف	إِفْعَال	vb.IV.vn	if'aal	<ila`f	2	Noun			ف	ل	ا	
153	أَلَّفَ	ا ل ف		II		to join, to reconcile	5				ف	ل	ا	
154	إِلّ	ا ل ل	فِلّ	N23.2	fill	<il~	2	Noun			ل	ل	ا	
155	أَلِيم	ا ل م	فَعِيل	N13.1	fa'eel	>aliym	72	Adjective			م	ل	ا	
156	يَأْلَمُ	ا ل م		I		to suffer	3				م	ل	ا	
157	إِلَٰه	ا ل ه	فِعَال	N11.3	fi'aal	<ila`h	147	Noun			ه	ل	ا	
158	يَأْلُ	ا ل و		I		to spare	1				و	ل	ا	
159	يُؤْلُ	ا ل و		IV		to swear, to vow	1				و	ل	ا	
160	يَأْتَلِ	ا ل و		VIII		to swear	1				و	ل	ا	
161	ءَالَآء	ا ل ي	(فَعَل) فَاعَال	N21.4z.pl	faa'aal pl of fa'al (according to some, pl of fa'al, fi'al, fi'l, fu'l or fa'l)	'aAlaA^'	34	Noun			ي	ل	ا	
162	أَمْت	ا م ت	فَعْل	N21.1	fa'l	>amot	1	Noun			ت	م	ا	
163	أَمَد	ا م د	فَعَل	N21.4	fa'al	>amad	4	Noun			د	م	ا	
164	أَمَّارَة	ا م ر	فَعَّالَة	N01.1t	fa''aal at	>am~aArap	1	Noun			ر	م	ا	
165	أَمْر	ا م ر	فَعْل	N21.1	fa'l	>amor	166	Noun			ر	م	ا	
166	إِمْر	ا م ر	فِعْل	N23.1	fi'l	<imor	1	Adjective			ر	م	ا	
167	ءَامِرُون	ا م ر	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	'aAmiruwn	1	Noun			ر	م	ا	
168	أَمَرَ	ا م ر		I		to order, to command	77				ر	م	ا	
169	يَأْتَمِرُ	ا م ر		VIII		to consult	2				ر	م	ا	
170	أَمْس	ا م س	فَعْل	N21.1	fa'l	>amos	4	Noun			س	م	ا	
171	أَمَل	ا م ل	فَعَل	N21.4	fa'al	>amal	2	Noun			ل	م	ا	
172	إِمَام	ا م م	فِعَال	N11.3	fi'aal	<imaAm	12	Noun			م	م	ا	
173	أُمّ	ا م م	فُلّ	N22.2	full	>um~	34	Noun			م	م	ا	
174	أُمَّة	ا م م	فُلَّة	N22.2t	full at	>um~ap	64	Noun			م	م	ا	
175	أُمِّىّ	ا م م	فُلِّيّ	N22.2y	full iyy	>um~iY~	6	Noun (4), Adjective (2)			م	م	ا	
176	آمِّين	ا م م	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	A^m~iyn	1	Noun			م	م	ا	
177	أَمَٰنَٰت	ا م ن	 (فَعَالَة) فَعَالَات	N11.1t	fa'aal aat.pl	>ama`na`t	4	Noun			ن	م	ا	
178	أَمَٰنَت	ا م ن	فَعَالَة	N11.1t	fa'aal at	>ama`nat	2	Noun			ن	م	ا	
